UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
112028,0,Phoenix,1537058,6Tt0mGKbMoAz1GsjkVhbMQ,The Original Burrito Co,Mexican; Restaurants,"4865 E Elliot Rd
Phoenix, AZ 85044",33.3488854,-111.9789093,True,73,3.5,AZ,1,2009-08-11,2,c7_-g55ZX7mqZ8WNw5RImw,3.17,23,27,Kristen,86,108,1,"Seriously this is possibly the worst breakfast burrito I have ever had! I ordered a breakfast burrito to go and when I asked for extra hot sauce I got a huge attitude but, that aside I was excited to try it out. It looked like it would be pretty authentic . I came in and cut it in half only to discover mashed potatoes drenched in butter, the egg didn't look like egg and the salsa was horrible. Maybe that's not there specialty but, I'm not going to go back. I had to toss my burrito!",2,AVCBC2G5RjJM8tu_PebFPw
20389,2,Chandler,254276,7-4FxYXhNUS2lhpUb_q5-w,Teakwoods Tavern & Grill,Bars; Nightlife; Restaurants,"5965 W Ray Rd
Ste 20
Chandler, AZ 85226",33.3197658,-111.944694,True,69,3.5,AZ,1,2009-12-23,1,rydRihcraJBRwdtG00NRpQ,3.17,23,27,Kristen,86,108,3,"Alright place to go for a game. Good food, good service, pretty relaxed atmosphere. Perfect for a Monday night game or a quick bite.",2,AVCBC2G5RjJM8tu_PebFPw
103635,0,Phoenix,1537058,24qSrF_XOrvaHDBy-gLIQg,Baby Kay's Cajun Kitchen,Cajun/Creole; Restaurants,"2119 E Camelback Rd
Phoenix, AZ 85016",33.5092898,-112.0364736,True,121,3.5,AZ,0,2010-01-18,0,6E7RhJa4kx0ci0-nfv7Ivw,4.03,66,46,Xavier,61,98,1,"I'd hate to waste a star on this place!

I lived right outside of The French Quarter in New Orleans for 8 months. I remember the best of Cajun food and this place was far from what I remember. I'm not big on seafood but everyone at our table ordered a seafood dish and all were not happy with their entree.

What did I order? I ordered a simple Chicken Po'boy sandwich. How can a Cajun restaurant get this wrong? This place did. The chicken was placed on bread that was hard. I expected the chicken to be smothered in BBQ sauce. Wrong! The sauce was on the side. The lettuce on the side of dish that was to be used in the sandwich was a bit on the brown side. The fries were cold. Yuck!

Waitress was great. She was the best part of this dining experience. Never again.",0,7F-DVLnGmC5hHPUVfSfxDw
28913,0,Phoenix,1537058,IceZ4BtTz76eppjNWm-c6A,Paisley Violin,Greek; Mediterranean; Restaurants,"1030 NW Grand Ave
Phoenix, AZ 85007",33.4549264,-112.086757,False,63,3.5,AZ,0,2010-02-09,0,YAeRgBRmknOU3767H26E0Q,4.03,66,46,Xavier,61,98,4,"I've been a fan and lover of the Paisley Violin for almost 4 years. Love this charming little place nestled on Grand Ave. It's out of the way but yet it has a downtown feel. Gina, owner and cook, makes the best hummus in town. I had one of the best Hummus pizza specials ever prepared by Gina. Since then, every time I return to PV, Gina always makes a special pizza filled with the ingredients that I love. Best cafe mochas in town! If ever I do take in First Friday, this is usually our last stop of that night. It's perfect for gatherings with friends. Check out their websites for daily specials.",1,7F-DVLnGmC5hHPUVfSfxDw
57109,0,Phoenix,1537058,CqhsIZ7TzCfJTrZqg5-gqQ,The Armadillo Grill,Nightlife; Bars; American (Traditional); Sports Bars; Restaurants,"1904 E Camelback Rd
Phoenix, AZ 85016",33.5093736,-112.0409502,True,102,4,AZ,0,2010-02-24,0,Se9tcAzTvwWS9w8nUxYnMw,3.17,23,27,Kristen,86,108,5,"I love this bar! The bartenders are awesome a lot of regulars here and I can see why it's easy to become one everyone is really nice. I went there with my roommate and about three times and they welcome us like we've been going for years.As far as the food I've really only had the fried pickles which are amazing! They have great drink specials and reverse happy hour. I haven't made it to happy hour yet because I'm scared I will stay there until close.The inside is nothing fancy but, enough bar games to keep you entertained.",1,AVCBC2G5RjJM8tu_PebFPw
81094,0,Phoenix,1537058,3oZcTGb_oDHGwZFiP-7kxQ,Chelsea's Kitchen,Breakfast & Brunch; American (Traditional); Restaurants,"5040 N 40th St
Phoenix, AZ 85018",33.5123186,-111.995355,True,453,4,AZ,1,2010-03-06,0,QNHBSDMmkPtNH3RS2bqQag,3.17,23,27,Kristen,86,108,4,Delish! I really liked this Chelsea's we ate on the patio and it was beautiful. The food was really good I had the fillet tacos and they were perfect! The key lime pie was the best I've ever had and the service was great!,0,AVCBC2G5RjJM8tu_PebFPw
66936,0,Phoenix,1537058,-q_VodbABJygOSuv86LOtw,Chik A Ribs,Soul Food; Restaurants,"1830 W Glendale Ave
Phoenix, AZ 85021",33.5386469,-112.0987834,False,9,3.5,AZ,0,2010-03-31,0,jbvSjubEqXFpXndz4qjG2g,3.7,9,5,Julie,23,24,4,"I got two pieces of chicken, mac and cheese, and refried beans with a Coke for under $7.  The chicken was very good tasting, juicy and cooked just right.  The mac and cheese was delicious.  I got this order to go and they had me sit down at a table and the waitress brought the check and my drink over.  It was very nice and relaxing after the morning I had.  They have R&B playing and ESPN on the flat screen tv, so I had no problem waiting for my food to cook.  The restaurant is very clean and everyone was very polite!!  Next time I go back, I want something with BBQ sauce, it smells wonderful!",0,pWlxozeqaknvMjpZmkpV1Q
204503,6,Tempe,172816,bfDQai9X59uWK-XgP0t6rA,Dos Gringos,Dive Bars; Bars; Mexican; Nightlife; Restaurants,"8000 S Priest Rd
Tempe, AZ 85282",33.344158,-111.963722,True,41,3,AZ,0,2010-04-08,0,eCd9WoMFV2QPAv22jRVKdg,3.17,23,27,Kristen,86,108,4,"I love this dos, at least every other week I have to come for happy hour out on the patio. Occasionally I've found myself here from happy hour to reverse happy hour. $2 pacificos and margaritas and $1 happy shots. The food is bar food nothing special but, I usually eat it anyway. I don't think I've ever gone here on a Friday or Saturday night but, I can say it's an awesome weekday spot.",0,AVCBC2G5RjJM8tu_PebFPw
41075,2,Chandler,254276,Zg-C1aYcoR2L5OIrA01MkQ,Heart Attack Grill,Burgers; Restaurants,"6185 W Chandler Blvd
Chandler, AZ 85226",33.304775,-111.947948,False,110,3,AZ,1,2010-05-02,0,n-iFDnsT2uPx8jLs5CFRuw,3.64,85,82,Steven,139,194,3,"I had a decent 1lb double burger that was not juicy, it was sopping wet. Fries cooked in animal fat have good flavor, but they were a little limp and not very crispy. I had a PBR and a real sugar bottled Coke, which are really good.

If you haven't been to this place you should go, it's a fun place to visit. I went on a Saturday and I thought the young 'nurses' were some quality eye candy. I'm not going back because I respect my health to some degree. However, I was entertained and liked that the place doesn't pull any punches. Just go once, and cross it off your local bucket list.",1,uEG5uD9wMJixGWxaq34IEw
183850,6,Tempe,172816,SX0pCDRvuTEoXobTovJEIQ,Port of Subs,Sandwiches; Restaurants,"777 S College Dr
Ste 103
Tempe, AZ 85281",33.4222436,-111.9349687,True,12,3.5,AZ,3,2010-05-24,3,gHDvJqnuuTTrmJze016LaA,3.92,1875,1233,Amy,539,2452,3,"I LOVE Port of Subs.   I could eat here and never get sick of the food or the menu items. But, the service here on Sunday left me upset, sad and slightly irritated and annoyed! I've never been to this specific location, but on Sunday I wanted to take some friends on the light rail and then go here for lunch while the weather was still comfortable and nice.

I know this place is near campus, and they probably get a lot of student riff raff, but I was a bit annoyed with the service that I recieved here.  Actually, I'm still bothered almost a day later.  I will attribute it to the fact that its students that were working here behind the counter.

Anyways, for starters, I called here before hand to ask a few location questions.  These girls had NO idea where they were located.  Really, they didn't.  They couldn't tell me not only where they were close to, but had NO idea how far from the light rail they were.  I knew where she was better then she did!  I told her which one of the two stops would be closer for me to deboard at, and she had no clue.  I had to get out my light rail map at home to figure out where they were.  She was totally useless!  I only knew where to go because she told me she was near smashburger...and I figured out where to go from there.

So friends and I take the light rail down to the College/Veterans Way exit.  We walk to the port of subs and I realize that I have to go to the bathroom.  I was mentioning it to my friends as we walked into the store, and out of no where, some girl at a table boasts out ""WE DON'T HAVE PUBLIC BATHROOMS IF YOU NEED TO GO YOU NEED TO GO TO THE BATHROOM AT SUBWAY BUT YOU HAVE TO BUY SOMETHING.""  Um, I wasn't only NOT talking to her, but the fact that she took it upon herself to YELL it at me as I'm setting foot in the store is a whole different story.  I was SO annoyed!

I mentioned to the service girl who was on break eating a sub that I wasn't addressing her about my bathroom concerns she responded with ""Well, I couldn't help but hear you when you came in.""  REALLY?!?!?!   STFU please!  Your probably the same girl who answered the phone and doesn't know where your located at!

Ugh, the food was good, but the two idiot ding dongs behind the counter need retraining and need to learn to not be beotches!!!",4,JffajLV-Dnn-eGYgdXDxFg
171732,6,Tempe,172816,2bdKR3l4o-S1CscLqqnvVw,Thai Elephant,Thai; Restaurants,"815 W University Dr
Ste 108
Tempe, AZ 85281",33.421453,-111.950563,True,118,4,AZ,0,2010-05-24,0,BskHrQs0JHPzNIBejgT8uA,3.73,15,9,Anne,33,43,4,"I was so sad to find out that Tipp's 88 Thai restaurant at Dorsey and University was closed, so my quest for a new Thai place was on. I found this place through Yelp (like most restaurants), and was happy with my results. I'm also out to sample the massamun curry (cinnamon and clove-based curry with potatoes and onions) at each Thai restaurant in the area. Their's is by far the best I've had (as of yet). So rich and delicious with just the right amount of spices that you want.",2,d4zmaIWxokvb0RBDS3wjqA
124020,6,Tempe,172816,jEWfxxA_kjeJE_Z_ku3zLA,RA Sushi Bar Restaurant,Nightlife; Bars; Sushi Bars; Japanese; Restaurants,"411 S Mill Ave
Ste 103
Tempe, AZ 85281",33.4261603,-111.939838,True,145,2.5,AZ,0,2010-05-24,0,mdclW_4Mg0e0K583J0VwZQ,3.54,296,370,Bao,377,487,3,"RA Sushi -- well it is what it is.  I think this location is the best out of all the RA Sushi around the valley.  It's spacious and has a nice patio.  Again, I'm not a big fan of their Sushi, but their happy hour is decent.  I really like their bar setup...you can actually watch the game anywhere to sit! :)",1,XqMkm-DD9VsdcKx2YVGhSA
118954,6,Tempe,172816,MAfc2V_EVtyR9rMxxEAPLg,Khai Hoan Restaurant,Vietnamese; Restaurants,"1537 E Apache Blvd
Tempe, AZ 85281",33.4146742,-111.913402,True,143,4,AZ,0,2010-05-24,0,MqmoshueH0UNGwJHK0PGmQ,5,0,0,Carrie,2,1,5,"If you want a delicious and healthy meal, come here for a bowl of pho.

Both the chicken and beef pho are excellent.  Big servings, very friendly service, nice crowd (families, college students).  Really excellent meal at a cheap price.  Will definitely go back on my next trip to Scottsdale.",0,54w6Vv5Ke-HPusac0N69fg
89792,6,Tempe,172816,JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,Bars; Food; Breweries; Pubs; Nightlife; American (New); Restaurants,"1340 E 8th St
Ste 104
Tempe, AZ 85281",33.4194512,-111.915926,True,735,4.5,AZ,0,2010-05-24,0,qqIdtUK46WgZVx_gpivzAw,3.91,5,8,Charles,54,21,4,"I heard about this place from many people and have been wanting to try it and I finally did.  I did not get a chance to try the food but I heard its good from many people.

I went on the night of my 21 birthday and thought, finally I get to try this place.  I got 8th street beer and tried 'half' I think its called, its a wheat beer.  I found 8th street to be one of the best beers I had in a while.  I also find that the more local brewery you go to the more likely often have great beer.

I will definitely return when I am in the mood to chill with some friends and have an 8th street or try something new.

Recommendation: If you want some good beer and from what I heard good food drop in with some friends.",0,cWg07SD9-PnDUglqtS5owg
192830,6,Tempe,172816,vdSqetuu1LehZiiBu8hSXg,Taco Bell,Restaurants,"9960 S Rural Road
Tempe, AZ 85284",33.320492,-111.929856,True,5,3,AZ,0,2010-05-24,0,O1eObi--vTJoZSrFbwaygQ,3.87,19,19,Heather,32,60,4,"First of all, I love Taco Bell anyhow.  But I went to pick up take out for my hubby and wow...the drive thru attendant was SO friendly!

Just wanted to say thanks for the excellent customer service.  We frequently grab food from this particular Taco Bell and I appreciate the hearty ""thanks for your business!""

I wish I could remember his name, but next time.  Thanks!",2,-l3JUkVxUj2e7Q9u42bzJA
27841,6,Tempe,172816,2bdKR3l4o-S1CscLqqnvVw,Thai Elephant,Thai; Restaurants,"815 W University Dr
Ste 108
Tempe, AZ 85281",33.421453,-111.950563,True,118,4,AZ,2,2010-05-24,0,VsmMrGFk_D7Nik633Uk8HQ,3.77,25,39,Herb,23,44,4,"Great food, it's better than Thai Basil located right up the street. The tempura is awesome. The clear glass noodle soup is great. The imperial veggies are killer. The only thing that sucks is their sub par spring rolls which are greasy & cold like they were sitting around for a while. Highly recommended for fellow vegetarians. Go there stoned & wash down that cottonmouth with a Thai iced tea.",1,0Wq5xmoMkoC4P8pqr_P-Ew
189185,6,Tempe,172816,eIxSLxzIlfExI6vgAbn2JA,Lobbys Beef Burgers Dogs,Burgers; Hot Dogs; American (New); Restaurants,"3141 S McClintock Dr
Ste 13
Tempe, AZ 85282",33.3947699,-111.9088938,True,181,4.5,AZ,2,2010-05-24,0,lQYU7GBR5xkqPq7LKcJ6Dw,3.92,151,90,Jared,135,233,4,"This place is a pretty nice little spot in Tempe. They are in the building where extreme pita used to be next to blockbuster.

I came based on the yelp reviews and ordered an italian beef with gardinera. It was very good. Nice and wet and the gardinera is nice and hot. The fries were also fantastic. there was so much food that i couldn't even finish on a day where i went in hungry.

It was also fun that they were doing a Man vs Food style competition all day with a challenge to eat a 3lbs burger with toppings in 10 minutes. Two guys tried it while i watched and made for a fun time. The staff made sure it was a fun event.",3,XeoAojoz5johV2MQ5ngNig
181729,6,Tempe,172816,FG_GRMLSj68ximzfrr9eWw,Macayo's Depot Cantina,Mexican; Restaurants,"300 S Ash Ave
Tempe, AZ 85281",33.427732,-111.943236,True,88,2.5,AZ,2,2010-05-24,1,c15nmWt-06sUe98UJT42bA,4.41,31,23,Kristian,85,73,3,"Chips and salsa always make me happy. The Brava Burro was a mini-burrito with a side of lettuce, tomatos, and salsa. Inside the burrito is rice, refried beans, and I chose chicken over the option of shredded beef. The was some good spice used to heat up the meal and my tongue was on fire. But the tortilla was bland, and I could have whipped up the same type of meal at my house.

The patio area was the highlight of the restaurant, and had plenty of tables, and a large fountain, which created the illusion of water in the 98 degree heat.

$5.99 + $2 = $8 + tax and tip.",2,gFjQYTbn9_SBAbkyV95WKw
38630,6,Tempe,172816,rIonUa02zMz_ki8eF-Adug,Five Guys Burgers and Fries,Burgers; Restaurants,"680 Mill Ave S
Tempe, AZ 85281",33.4240085,-111.9401874,True,100,3,AZ,0,2010-05-24,0,pv0wgyP3wf_7UZQXxi3Kfw,3.71,88,111,Mateo,133,232,4,"I'm not sure who the 5 guys are, nor do I care, but on my way to the airport we dropped in for a quick (10 minute) bite before hitting the jet stream.

Damn, didn't we just eat In N Out like 3 hours ago? Yeah, but they serve Hot Dogs here. Yea! Okay, so I wasn't helping my diet any, but hey, I'm on vacation. No, not really, but whatever.

One hot dog please! What would you like on it? BACON! and?... Wow, tons to choose from!!! I'll have onions, mustard and JALAPENOS!

My friends ordered a burger and a grilled cheese and I sat back and watched as the ""guys"" made all our food from scratch.

Everything was tasty and the fries were IMHO perfect. The price was good, the portions good, the staff were good and the place was clean.

Yup, I'd do it again",2,hIdHh1YBy7gHnSWXyb9ctg
101805,6,Tempe,172816,ke3RFq3mHEAoJE_kkRNhiQ,Lucille's Smokehouse Bar-B-Que,Southern; Barbeque; Restaurants,"Tempe Marketplace
2030 E Rio Salado Pkwy
Tempe, AZ 85281",33.4366655,-111.9403254,True,178,3,AZ,0,2010-05-24,0,gw6UUd7YAvmmMIm6qoFcVw,3.38,16,24,Mrs.,16,42,5,"*4.5 stars*

Whenever BBQ cravings hit, my husband and I go to Lucille's. We've been here a number of times and rarely do we have a bad experience. I would suggest getting here before you're absolutely starving because there's usually a big crowd and the wait runs from 20 min to an hour+ on weekends (obviously the busiest). 

The restaurant is sectioned off into several rooms and has a down-home Southern vibe to it, from the old-timey framed photographs and wall art, to the screened ""porch"" with the shabby chic bench. Once seated, we start off with strawberry lemonade in huge glass mason jars and homemade biscuits with apple butter...so yummy! 

We usually share the Combo Porch Platter (it has the right amount of food for 2 or 1 REALLY hungry person) with my husband getting the Baby Back Ribs, myself getting the BBQ Tri-Tips (the Pulled Pork and Beef Brisket are good too) and we split the half chicken. So delish!  Also, the nice thing about Lucille's is that there are 4-5 different BBQ sauces sitting on the table to choose from. The 2 sides we normally select are the mashed sweet potatoes and potato salad. I've sampled the BBQ beans, mac 'n' cheese, and the coleslaw and have found all to be sadly lacking.

We're almost always too stuffed to get dessert, but when we have ordered, we've gotten the Old-Fashioned Banana Pudding and the Peach Fruit Cobbler with vanilla ice cream. Skip the pudding...it was bland and tasteless. On the other hand, the peach fruit cobbler was heavenly! Sweet, flaky, warm crust with juicy peaches and cold vanilla bean ice cream...mmm-mmm good (drool) 

So, with a check of around $35 (when sharing the Combo Porch Platter), scrumptious food and lemonade, and left-overs that warm up great at home...Lucille's is #1 in our book.",0,_qQJEA45k_E6EGE7vuzUDA
127747,6,Tempe,172816,YL_EiYALmGUd1lm5HZgL3w,Someburros,Mexican; Restaurants,"101 E Baseline Rd
Tempe, AZ 85283",33.377697734012,-111.9388855672,True,90,3.5,AZ,0,2010-05-24,0,0VW_3UpFyaWtquaFwzpq8g,3.79,3,1,Nicole,15,14,4,I get to eat at their Chandler location whenever I'm in town visiting friends. It's a nice change of pace from the Mexican food you find in California. The open face cheesecrisp is a great one to share and the taquitos and guacamole are my favorite. The atmosphere is nice and it's always clean. This is a great place if you're looking for a quick and delicious lunch.,1,nmLbCIsSToaOWKGF119dqA
15212,6,Tempe,172816,EC9WB-iVjd28B6R6KIZ8TA,Teharu Sushi,Sushi Bars; Restaurants,"9845 S Priest Dr
Tempe, AZ 85284",33.3216034,-111.9626175,True,196,3.5,AZ,0,2010-05-24,0,1DZGbXtS2dSEevVxbEpFDQ,4.12,4,3,Tara,16,13,4,"Good sushi? Yes. Best I ever had? No, but the price makes up for it. Plus I love the conveyor belt. Not that original but I have only found one other place near me with it. Service is so-so but you basically serve yourself so its irrelevant. No plates over $2 and they have a little chart that lets you know what color is what price. I got a rainbow roll, gyoza (potstickers), shrimp tempura roll, edamame, and a cali roll for $9 inc tax. And the time I went with my bf I can't remember everything we got but we were both stuffed (and he eats a lot!) for under $20. Great place to go for quick, super cheap sushi. They also have a menu if you want to order anything not on the belt or if you don't want to sit at it. Definitely my new favorite!",0,9cLBI7hhgScn3lHjY4nAaQ
